Time [s],Channel 5
0.000000000,1
1.332497708,0
1.336918417,1
1.341329458,0
1.341914750,1
1.343483750,0
1.344066875,1
1.344561958,0
1.345145083,1
1.346716375,0
1.347276000,1
1.347794375,0
1.348383875,1
1.348872542,0
1.349457750,1
1.349950125,0
1.350506125,1
1.351026708,0
1.351613917,1
1.353182833,0
1.353766042,1
1.355337167,0
1.355922333,1
1.356415250,0
1.356975000,1
1.357493333,0
1.358078667,1
1.358569792,0
1.359127083,1
1.359647625,0
1.360205292,1
1.360725792,0
1.361313167,1
1.362880167,0
1.363439750,1
1.363958167,0
1.364543375,1
1.365036333,0
1.365621583,1
1.367190625,0
1.367777833,1
1.368268667,0
1.368826333,1
1.369346792,0
1.369929917,1
1.370423000,0
1.370982583,1
1.371501042,0
1.372086208,1
1.372579042,0
1.373164292,1
1.373655375,0
1.374212750,1
1.375811375,0
1.376394500,1
1.377965917,0
1.378525208,1
1.380121833,0
1.380707125,1
1.382276125,0
1.382859167,1
1.384430417,0
1.384990000,1
1.386586458,0
1.387141958,1
1.388740958,0
1.389298292,1
1.390896917,0
1.391480083,1
1.393051208,0
1.393610833,1
1.395207292,0
1.395792542,1
1.397363542,0
1.397948792,1
1.399517667,0
1.400105042,1
1.401672125,0
1.402257042,1
1.403828042,0
1.404413292,1
1.405982500,0
1.406539958,1
1.408138500,0
1.408721667,1
1.409214708,0
1.409825292,1
1.411343292,0
1.411951792,1
1.412447083,0
1.413059625,1
1.414603125,0
1.415186208,1
1.416757667,0
1.417342458,1
1.418913458,0
1.419469083,1
1.419989708,0
1.420576917,1
1.421067750,0
1.421625375,1
1.426822250,0
1.431295250,1
1.435653625,0
1.436210958,1
1.436731500,0
1.437318833,1
1.438886250,0
1.439445583,1
1.439963917,0
1.440549208,1
1.442118750,0
1.442705625,1
1.444274583,0
1.444832333,1
1.446429125,0
1.447014167,1
1.448585208,0
1.449170458,1
1.449661375,0
1.450274125,1
1.450739500,0
1.451322708,1
1.452894000,0
1.453479208,1
1.455048542,0
1.455605792,1
1.457204500,0
1.457762167,1
1.459358833,0
1.459918583,1
1.461515125,0
1.462100417,1
1.462591875,0
1.463178625,1
1.464747875,0
1.465305375,1
1.466904167,0
1.467461875,1
1.467982417,0
1.468569833,1
1.470138875,0
1.470696583,1
1.472293208,0
1.472853042,1
1.474447792,0
1.475005167,1
1.476603875,0
1.477161542,1
1.478760292,0
1.479343417,1
1.480916500,0
1.481499792,1
1.481993000,0
1.482578083,1
1.483071083,0
1.483630875,1
1.484149292,0
1.484734542,1
1.485227458,0
1.485812708,1
1.486305625,0
1.486890875,1
1.487383708,0
1.487969000,1
1.488461917,0
1.489047208,1
1.489538500,0
1.490125500,1
1.490616375,0
1.491173875,1
1.491694458,0
1.492277542,1
1.492772625,0
1.493359958,1
1.493850750,0
1.494433875,1
1.494928917,0
1.495512083,1
1.496007083,0
1.496564792,1
1.497083292,0
1.497668458,1
1.498161417,0
1.498746667,1
1.500317792,0
1.500903083,1
1.501396000,0
1.501981250,1
1.503550583,0
1.504137458,1
1.504628667,0
1.505215583,1
1.505706458,0
1.506293708,1
1.506784625,0
1.507367708,1
1.508941042,0
1.509498708,1
1.511097458,0
1.511655125,1
2.496000000,1
