Time [s],Channel 5
0.000000000,1
1.547953625,0
1.552401375,1
1.556784375,0
1.557367458,1
1.558938625,0
1.559498250,1
1.560016625,0
1.560576333,1
1.562171958,0
1.562728375,1
1.563248958,0
1.563836250,1
1.564327042,0
1.564884667,1
1.565404042,0
1.565988167,1
1.566481083,0
1.567066250,1
1.568637292,0
1.569192833,1
1.570791458,0
1.571374583,1
1.571868167,0
1.572427292,1
1.572945667,0
1.573505375,1
1.574023750,0
1.574609000,1
1.575100042,0
1.575657500,1
1.576178000,0
1.576765375,1
1.578334208,0
1.578891917,1
1.579410500,0
1.579970125,1
1.580488458,0
1.581044000,1
1.582642792,0
1.583225833,1
1.583720792,0
1.584278417,1
1.584797708,0
1.585381958,1
1.585874917,0
1.586434583,1
1.588031042,0
1.588616250,1
1.589107083,0
1.589690125,1
1.591262125,0
1.591846292,1
1.593417292,0
1.594002458,1
1.595571500,0
1.596154458,1
1.597727542,0
1.598285250,1
1.599881750,0
1.600437250,1
1.602036125,0
1.602593417,1
1.604191958,0
1.604775042,1
1.606346125,0
1.606931292,1
1.608500708,0
1.609057750,1
1.610656250,0
1.611213875,1
1.612810625,0
1.613395500,1
1.614966500,0
1.615551792,1
1.617120833,0
1.617678375,1
1.619275083,0
1.619860083,1
1.621431000,0
1.622016167,1
1.623585125,0
1.624142667,1
1.625741208,0
1.626298792,1
1.626817958,0
1.627402333,1
1.628973375,0
1.629583875,1
1.630051250,0
1.630636458,1
1.632205458,0
1.632762958,1
1.634360042,0
1.634919167,1
1.635437583,0
1.635997292,1
1.636515625,0
1.637100792,1
1.638669792,0
1.639252750,1
1.644425417,0
1.648870875,1
1.653253750,0
1.653811375,1
1.654331750,0
1.654914917,1
1.656485792,0
1.657071042,1
1.657562083,0
1.658144917,1
1.659718042,0
1.660275750,1
1.661872250,0
1.662457458,1
1.664026625,0
1.664609667,1
1.666182792,0
1.666740458,1
1.667259125,0
1.667844000,1
1.668336958,0
1.668922167,1
1.670491500,0
1.671074333,1
1.672647500,0
1.673230625,1
1.674801750,0
1.675361500,1
1.676958000,0
1.677543292,1
1.679112292,0
1.679699708,1
1.680188875,0
1.680773583,1
1.682344583,0
1.682900125,1
1.684498833,0
1.685056208,1
1.685576750,0
1.686134417,1
1.687731167,0
1.688290750,1
1.689887250,0
1.690472500,1
1.692041458,0
1.692628708,1
1.693119458,0
1.693702583,1
1.695273833,0
1.695833375,1
1.696351833,0
1.696936917,1
1.697429792,0
1.698015083,1
1.698507917,0
1.699063500,1
1.699584292,0
1.700167125,1
1.700662250,0
1.701245292,1
1.701740292,0
1.702297917,1
1.702816542,0
1.703405792,1
1.703894500,0
1.704454208,1
1.704972542,0
1.705557792,1
1.706049458,0
1.706635917,1
1.707126750,0
1.707709792,1
1.708204792,0
1.708762375,1
1.709282792,0
1.709840375,1
1.710359500,0
1.710918542,1
1.711437000,0
1.712022125,1
1.712515042,0
1.713100333,1
1.713593125,0
1.714178417,1
1.715747292,0
1.716304875,1
1.716825417,0
1.717412750,1
1.718979625,0
1.719539208,1
1.720057708,0
1.720642750,1
1.721135667,0
1.721720917,1
1.723291958,0
1.723877167,1
1.725446208,0
1.726003708,1
1.726524250,0
1.727107292,1
2.901333333,1
