Time [s],Channel 5
0.000000000,1
1.475668917,0
1.480090792,1
1.484501458,0
1.485086708,1
1.486655917,0
1.487217500,1
1.487734792,0
1.488291375,1
1.489890125,0
1.490447792,1
1.490968250,0
1.491555625,1
1.492044792,0
1.492629542,1
1.493122917,0
1.493682208,1
1.494201208,0
1.494760375,1
1.496357000,0
1.496916750,1
1.498513292,0
1.499068875,1
1.499589583,0
1.500176708,1
1.500667833,0
1.501225250,1
1.501745792,0
1.502303417,1
1.502823875,0
1.503407000,1
1.503900417,0
1.504489375,1
1.506056292,0
1.506616083,1
1.507134500,0
1.507694292,1
1.508212667,0
1.508797958,1
1.510367292,0
1.510924625,1
1.511445167,0
1.512002833,1
1.512523375,0
1.513081042,1
1.513601542,0
1.514159167,1
1.515755792,0
1.516315583,1
1.516833958,0
1.517393792,1
1.517911083,0
1.518467708,1
1.520066500,0
1.520624083,1
1.522222750,0
1.522805958,1
1.524377125,0
1.524936917,1
1.526531750,0
1.527093292,1
1.528687750,0
1.529245333,1
1.530843917,0
1.531401542,1
1.532998167,0
1.533557833,1
1.535154250,0
1.535714000,1
1.537308583,0
1.537865958,1
1.539464583,0
1.540022167,1
1.541620708,0
1.542178292,1
1.543776917,0
1.544334667,1
1.545931208,0
1.546490917,1
1.548087375,0
1.548672583,1
1.550243667,0
1.550803500,1
1.552397958,0
1.552980958,1
1.553476042,0
1.554033583,1
1.555632208,0
1.556189917,1
1.556710417,0
1.557293583,1
1.558864750,0
1.559454208,1
1.561021042,0
1.561606292,1
1.562099167,0
1.562654708,1
1.563175583,0
1.563732875,1
1.564253458,0
1.564840708,1
1.570011417,0
1.574433792,1
1.578843083,0
1.579400042,1
1.579920958,0
1.580507875,1
1.582076833,0
1.582634542,1
1.583155042,0
1.583712750,1
1.585309375,0
1.585869125,1
1.587465583,0
1.588050875,1
1.589622000,0
1.590177583,1
1.591776333,0
1.592359458,1
1.592854542,0
1.593437667,1
1.593932708,0
1.594490417,1
1.596087042,0
1.596646917,1
1.598241958,0
1.598799000,1
1.600397875,0
1.600985042,1
1.602553917,0
1.603111500,1
1.604710167,0
1.605267792,1
1.605788250,0
1.606345917,1
1.607942458,0
1.608502292,1
1.610098833,0
1.610654375,1
1.611174917,0
1.611732542,1
1.613330167,0
1.613914333,1
1.615485708,0
1.616045292,1
1.617641792,0
1.618197375,1
1.618719958,0
1.619275583,1
1.620874292,0
1.621431875,1
1.623030542,0
1.623588208,1
1.624108708,0
1.624666417,1
1.625186917,0
1.625744625,1
1.626263833,0
1.626848250,1
1.627341208,0
1.627901000,1
1.628419458,0
1.629004708,1
1.629497292,0
1.630053208,1
1.630574833,0
1.631161125,1
1.631652125,0
1.632235167,1
1.632730208,0
1.633313375,1
1.633808417,0
1.634391542,1
1.634886125,0
1.635469667,1
1.635962917,0
1.636573292,1
1.637040792,0
1.637600583,1
1.638119000,0
1.638704167,1
1.639197083,0
1.639756917,1
1.640275375,0
1.640860625,1
1.642429667,0
1.642987375,1
1.643507875,0
1.644065542,1
1.645662250,0
1.646222000,1
1.646740375,0
1.647325667,1
1.647818625,0
1.648374250,1
1.649972958,0
1.650534750,1
1.652129125,0
1.652686792,1
1.654285375,0
1.654868583,1
2.688000000,1
