Time [s],Channel 5
0.000000000,1
1.298227125,0
1.302651667,1
1.307060458,0
1.307618167,1
1.309214833,0
1.309774500,1
1.310292958,0
1.310852667,1
1.312449292,0
1.313009083,1
1.313527375,0
1.314112667,1
1.314603667,0
1.315161167,1
1.315681750,0
1.316239333,1
1.316759792,0
1.317317458,1
1.318915292,0
1.319473833,1
1.321070500,0
1.321630250,1
1.322148667,0
1.322708458,1
1.323226833,0
1.323786625,1
1.324305083,0
1.324860625,1
1.325381208,0
1.325938792,1
1.326459375,0
1.327021250,1
1.328615792,0
1.329173542,1
1.329694083,0
1.330251875,1
1.330770458,0
1.331330167,1
1.332926250,0
1.333482500,1
1.334003250,0
1.334560750,1
1.335081333,0
1.335638917,1
1.336159583,0
1.336742792,1
1.337237833,0
1.337795542,1
1.339392250,0
1.339977375,1
1.341548500,0
1.342108333,1
1.343703917,0
1.344260458,1
1.345859208,0
1.346416750,1
1.348015375,0
1.348573083,1
1.350169833,0
1.350729500,1
1.352326208,0
1.352911542,1
1.354481875,0
1.355038375,1
1.356637208,0
1.357194917,1
1.358793542,0
1.359351292,1
1.360947958,0
1.361507708,1
1.363104292,0
1.363659875,1
1.365258542,0
1.365816167,1
1.367415000,0
1.367998167,1
1.369569417,0
1.370129125,1
1.371725792,0
1.372281375,1
1.373880292,0
1.374437792,1
1.376036417,0
1.376594125,1
1.377114583,0
1.377672292,1
1.379269083,0
1.379828750,1
1.380347167,0
1.380932417,1
1.382503458,0
1.383059042,1
1.384657833,0
1.385215417,1
1.386814042,0
1.387371708,1
1.388968333,0
1.389527917,1
1.390046542,0
1.390606083,1
1.395804208,0
1.400224458,1
1.404637333,0
1.405195042,1
1.405713792,0
1.406273167,1
1.407869708,0
1.408454958,1
1.408947917,0
1.409533208,1
1.411102292,0
1.411659833,1
1.413258500,0
1.413816125,1
1.415413458,0
1.415972458,1
1.417569000,0
1.418154167,1
1.418647000,0
1.419232250,1
1.419725167,0
1.420284958,1
1.421879917,0
1.422466667,1
1.424035708,0
1.424622958,1
1.426191792,0
1.426749417,1
1.428348000,0
1.428905625,1
1.430503292,0
1.431066167,1
1.431580708,0
1.432140042,1
1.433736667,0
1.434296375,1
1.435892917,0
1.436452708,1
1.436969292,0
1.437556333,1
1.439125583,0
1.439683000,1
1.441281792,0
1.441839500,1
1.443436125,0
1.444021333,1
1.445592417,0
1.446152250,1
1.446669875,0
1.447226208,1
1.447746750,0
1.448329833,1
1.448824958,0
1.449382542,1
1.449903083,0
1.450490417,1
1.450981208,0
1.451538875,1
1.452059292,0
1.452617000,1
1.453137458,0
1.453720583,1
1.454214917,0
1.454773250,1
1.455291708,0
1.455851375,1
1.456369792,0
1.456929542,1
1.457448000,0
1.458033250,1
1.458526167,0
1.459111458,1
1.459604333,0
1.460159917,1
1.460680750,0
1.461242375,1
1.461759000,0
1.462316375,1
1.462836958,0
1.463394625,1
1.463915125,0
1.464498250,1
1.464993292,0
1.465576417,1
1.467147708,0
1.467707417,1
1.468225833,0
1.468815333,1
1.470381125,0
1.470937875,1
1.471458500,0
1.472041542,1
1.472536583,0
1.473094208,1
1.473614750,0
1.474197958,1
1.474692958,0
1.475250625,1
1.476847250,0
1.477432500,1
2.560000000,1
