Time [s],Channel 5
0.000000000,1
1.621611708,0
1.626035958,1
1.630444375,0
1.631001667,1
1.632600167,0
1.633183250,1
1.633678208,0
1.634261333,1
1.635832333,0
1.636417458,1
1.636910417,0
1.637499750,1
1.637988375,0
1.638573583,1
1.639066458,0
1.639626167,1
1.640144500,0
1.640699958,1
1.642299083,0
1.642856083,1
1.644454667,0
1.645037750,1
1.645532750,0
1.646090250,1
1.646610750,0
1.647168333,1
1.647688833,0
1.648271958,1
1.648767000,0
1.649324583,1
1.649845083,0
1.650428167,1
1.651999542,0
1.652558958,1
1.653077708,0
1.653662542,1
1.654155458,0
1.654740667,1
1.656311625,0
1.656867208,1
1.657388250,0
1.657945375,1
1.658466875,0
1.659023542,1
1.659544292,0
1.660127125,1
1.660622458,0
1.661179875,1
1.661700417,0
1.662283458,1
1.663856458,0
1.664439542,1
1.666012667,0
1.666570292,1
1.668167875,0
1.668751958,1
1.670323292,0
1.670882750,1
1.672479208,0
1.673038875,1
1.674635208,0
1.675220458,1
1.676790708,0
1.677376583,1
1.678945625,0
1.679532750,1
1.681101625,0
1.681659042,1
1.683257583,0
1.683815167,1
1.685413542,0
1.685996542,1
1.687569458,0
1.688127042,1
1.689725542,0
1.690338333,1
1.691881500,0
1.692439042,1
1.694037417,0
1.694620500,1
1.696191833,0
1.696776500,1
1.698347500,0
1.698932708,1
1.699425542,0
1.700010792,1
1.701580667,0
1.702167000,1
1.702658000,0
1.703245042,1
1.704814000,0
1.705401250,1
1.706970250,0
1.707557583,1
1.709126458,0
1.709709583,1
1.710203083,0
1.710762167,1
1.712358708,0
1.712943833,1
1.718115917,0
1.722562208,1
1.726947417,0
1.727507000,1
1.728025500,0
1.728585125,1
1.730181583,0
1.730737125,1
1.731259708,0
1.731815250,1
1.733414167,0
1.733971542,1
1.735570208,0
1.736127875,1
1.737725333,0
1.738309750,1
1.739881000,0
1.740440583,1
1.740959042,0
1.741544250,1
1.742037208,0
1.742622458,1
1.744192083,0
1.744778667,1
1.746347667,0
1.746930708,1
1.748503708,0
1.749086792,1
1.750658167,0
1.751217500,1
1.752814792,0
1.753399042,1
1.753892250,0
1.754451625,1
1.756048125,0
1.756633167,1
1.758204208,0
1.758819083,1
1.759282250,0
1.759842000,1
1.761438292,0
1.761993875,1
1.763592625,0
1.764179875,1
1.765748833,0
1.766331875,1
1.767905042,0
1.768488125,1
1.770061167,0
1.770618833,1
1.771138167,0
1.771696917,1
1.772216500,0
1.772774917,1
1.773293500,0
1.773853000,1
1.774371417,0
1.774956542,1
1.775449458,0
1.776034583,1
1.776527500,0
1.777112667,1
1.777605542,0
1.778165333,1
1.778683667,0
1.779268833,1
1.779761708,0
1.780346958,1
1.780837917,0
1.781425000,1
1.781916208,0
1.782473375,1
1.782993917,0
1.783576875,1
1.784072083,0
1.784659167,1
1.785149958,0
1.785732958,1
1.786227958,0
1.786811000,1
1.787306000,0
1.787863667,1
1.788384083,0
1.788941667,1
1.790540292,0
1.791123375,1
1.791616625,0
1.792176042,1
1.793772750,0
1.794332333,1
1.794850792,0
1.795410417,1
1.795928792,0
1.796488500,1
1.797006792,0
1.797566583,1
1.799162958,0
1.799748167,1
1.800239250,0
1.800800792,1
2.709333333,1
